ServiceTag,product,new_appgroup,node,产品线,hostname,IP,OS,装机模版,机型,机房,包间,机柜编号,机位,机柜位置,ASW编号,所有产品,节点数量,节点配置,区域,service,serviceInstanceNo,runtimeResourceLimit,region
sn_60548,dtdream,,uim,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_79318,yundun,,cactus-db,,,,,,docker,,,,,,,,,,,cactus,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_85740,rds,,tl-server,,,,,,docker,,,,,,,,,,,tianlong,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_13256,ads,,test,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_57068,bcc,,controller,,,,,,docker,,,,,,,,,,,api,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_96203,bcc,,controller,,,,,,docker,,,,,,,,,,,api,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62914,ecs,,rabbitmq-server,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_70812,ram,,account-sub-service-db-init,,,,,,docker,,,,,,,,,,,account-sub,1,"{""mem_limit"":""2G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_50194,middleWare,,metaq3-namesrv,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_54938,middleWare,,metaq3-namesrv,,,,,,docker,,,,,,,,,,,jmenvDiamondVips,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_28741,ecs,,sop,,,,,,docker,,,,,,,,,,,luorigong,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_69351,dtdream,,dtcenter-init,,,,,,docker,,,,,,,,,,,dtcenter,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_06845,webapp,,zixia-db,,,,,,docker,,,,,,,,,,,zixia,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_30187,galaxy,,galaxy_smoke_test,,,,,,docker,,,,,,,,,,,public,1,"{""mem_limit"":""4G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_67023,slb,,slb-location-tools,,,,,,docker,,,,,,,,,,,yaochi,1,"{""mem_limit"":""2048M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_31897,tianji,,tianjimon-test,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_67290,middleWare,,cloud-cmdb,,,,,,docker,,,,,,,,,,,cmdb,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62801,tianji,,tianjimon-zk-init,,,,,,docker,,,,,,,,,,,tianjimon,1,"{""mem_limit"":""4096M"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_19723,ads,,bu,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""16G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_62057,ads,,bu,,,,,,docker,,,,,,,,,,,ads_service,1,"{""mem_limit"":""16G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
sn_14630,middleWare,,tair-server,,,,,,docker,,,,,,,,,,,tair,1,"{""mem_limit"":""16G"",""is_bigcontainer"":""false""}",cn-beijing-bgm-d01
